Location,Resort,Pass,Limited or unlimited,Total Lifts,Summit height,Vertical Drop,Base Elevation,Runs in Total,Longest Run,Skiable Terrain,Snow Making,Projected Opening,Projected Closing,Projected Days Open,Days Open Last Year,Years Open,Average Snowfall,Beginners Runs,Intermediate Runs,Advanced Runs,Expert Runs,Night Skiing
british-columbia,Whistler Blackcomb,Epic,unlimited,23,7493',5279',2215',234,6.8 mi,8171 ac,697 ac,November 25  20212021/11/25,May 23  20222022/05/23,185,106,56,"448""",18%,40%,35%,7%,
minnesota,Afton Alps,Epic,unlimited,21,1530',350',1180',48,0.5 mi,250 ac,250 ac,December 11  20212021/12/11,March 20  20222022/03/20,135,135,59,"60""",30%,49%,21%,,250 ac
trentino,Folgaria - Lavarone,Epic,limited,41,1820m,620m,1200m,103.3 km,4 km,103.3 km,74 km,December 03  20212021/12/03,March 27  20222022/03/27,127,119,7,50cm,,57%,36%,7%,
trentino,Paganella Ski,Epic,limited,18,2125m,1085m,1040m,40 km,5 km,40 km,50 km,December 03  20212021/12/03,April 03  20222022/04/03,N.A.,N.A.,N.A.,0cm,,40%,57%,3%,3 km
colorado,Crested Butte,Epic,unlimited,14,12162',3062',9375',121,2.6 mi,1547 ac,297 ac,November 24  20212021/11/24,April 03  20222022/04/03,137,145,61,"234""",14%,25%,25%,36%,
trentino,Monte Bondone,Epic,limited,4,2090m,910m,1180m,19 km,3.8 km,19 km,28 ha,November 27  20212021/11/27,April 18  20222022/04/18,N.A.,N.A.,N.A.,0cm,,26%,74%,,5 km
new-hampshire,Mount Sunapee,Epic,limited,10,2743',1510',1233',66,0.8 mi,232 ac,215 ac,December 03  20212021/12/03,April 10  20222022/04/10,130,130,74,"100""",30%,46%,11%,13%,
michigan,Mt. Brighton,Epic,limited,13,1330',230',1100',25,0.1 mi,130 ac,130 ac,December 03  20212021/12/03,March 13  20222022/03/13,99,111,62,"60""",24%,44%,24%,8%,130 ac
trentino,Pejo,Epic,limited,7,3000m,1600m,1160m,20 km,8 km,20 km,,November 27  20212021/11/27,April 18  20222022/04/18,N.A.,N.A.,N.A.,0cm,,25%,65%,10%,0.9 km
trentino,Pinzolo,Epic,limited,14,2100m,1300m,800m,31.4 km,5.2 km,31.4 km,31.8 km,December 03  20212021/12/03,April 18  20222022/04/18,N.A.,N.A.,53,0cm,,12%,41%,47%,
colorado,Telluride,Epic,limited,17,13150',4425',8725',147,4.6 mi,2000 ac,220 ac,December 03  20212021/12/03,April 17  20222022/04/17,129,136,50,"280""",16%,30%,21%,34%,
wisconsin,Wilmot Mountain,Epic,unlimited,11,1030',230',800',21,0.5 mi,135 ac,135 ac,December 03  20212021/12/03,March 13  20222022/03/13,139,125,84,"70""",33%,33%,33%,,135 ac
